source	detector	w661			w735			w785			w808			w826			w849		
5	7	1	2.91887E-05	309.0854492	1	6.6052E-06	120.4297638	1	9.3357E-06	196.7782593	1	1.10202E-05	24.69251251	1	7.3048E-06	346.4292297	1	0.00000871	160.5880585
5	8	1	0.000442859	133.6766663	1	1.43092E-05	199.5107727	1	0.000825534	113.0301361	1	0.000757235	281.777832	1	0.000788111	234.2994537	1	5.05171E-05	203.1590576
5	9	1	0.010971967	131.9431915	1	5.22321E-05	150.4423065	1	0.00632145	107.4537659	1	0.009070302	276.2885742	1	0.006463033	234.6927032	1	0.000262926	169.2985687
5	10	1	0.011538731	133.0697479	1	8.04502E-05	149.0710449	1	0.004889425	105.9334259	1	0.00901694	275.8233032	1	0.004512174	230.2051544	1	0.000194952	167.1121826
5	11	1	0.005012999	134.7773132	1	3.49428E-05	156.8803558	1	0.002119839	112.4117966	1	0.004136302	282.3257446	1	0.002117728	233.6688385	1	0.000109595	171.2415466
5	12	1	0.002260939	168.541214	1	3.98458E-05	186.8771973	1	0.00136011	154.986618	1	0.002427102	325.1018066	1	0.000941158	279.9402466	1	9.57502E-05	213.1183319
5	13	1	0.000172803	163.3568268	1	4.2957E-06	154.8375549	1	0.000109861	153.510788	1	0.000224959	325.338623	1	9.36714E-05	274.5345459	1	1.11985E-05	186.3358917
5	14	1	4.28066E-05	162.8594055	1	2.8375E-06	169.4890137	1	5.23451E-05	157.6378479	1	7.98946E-05	323.0611267	1	4.88617E-05	274.744751	1	5.1285E-06	198.9678192
5	15	1	4.36176E-05	155.0025787	1	2.14734E-05	179.4537354	1	2.45862E-05	147.6269379	1	4.29071E-05	309.1528931	1	3.72001E-05	278.9643555	1	3.32113E-05	207.1681213
5	16	1	0.000111458	148.5891876	1	3.04834E-05	119.5555725	1	8.76106E-05	126.2905731	1	9.69925E-05	293.7234802	1	8.17075E-05	239.8361816	1	4.91392E-05	146.8616028
5	1	1	0.000922269	157.6013031	1	2.34764E-05	173.7767944	1	0.001020783	128.9158783	1	0.000888941	300.5529175	1	0.001159348	249.1217804	1	9.24552E-05	180.6136475
